"data","cota","afluencia","defluencia","volume"
2026-04-16,NA,NA,NA,NA
2026-04-15,NA,NA,NA,NA
2026-04-14,224.03,6,6.4,70.33
2026-04-13,224.03,18,6.4,70.33
2026-04-12,224.02,17,6.4,70.25
2026-04-11,224.01,6,6.4,70.18
2026-04-10,224.01,27,6.4,70.18
2026-04-09,223.99,26,6.4,70.05
2026-04-08,223.97,26,6.4,69.92
2026-04-07,223.95,26,6.4,69.79
2026-04-06,223.93,26,6.4,69.66
2026-04-05,223.91,44,6.4,69.54
2026-04-04,223.87,25,6.05,69.29
2026-04-03,223.85,25,6.4,69.16
2026-04-02,223.83,43,6.4,69.04
2026-04-01,223.79,16,6.4,68.8
2026-03-31,223.78,16,6.4,68.73
2026-03-30,223.77,34,6.67,68.67
2026-03-29,223.74,42,6.4,68.49
2026-03-28,223.7,33,6.4,68.25
2026-03-27,223.67,85,6.4,68.08
2026-03-26,223.58,100,6.4,67.56
2026-03-25,223.47,137,6.4,66.93
2026-03-24,223.31,257,6.4,66.07
2026-03-23,222.98,383,6.4,64.4
2026-03-22,222.53,48.1,6.4,61.91
2026-03-21,222.48,0,6.4,61.64
2026-03-20,222.49,13,21.33,61.69
2026-03-19,222.5,47,63.63,61.75
2026-03-18,222.52,39,63.63,61.86
2026-03-17,222.55,72,63.63,62.02
